id,xcoord,ycoord
0,-11.81282,13.64487
1,3.75833,49.45058
2,-11.17211,18.87801
3,72.60146,51.54951
4,-23.03882,81.88228
5,3.80907,-86.88420
6,88.74248,-75.45055
7,40.13069,13.46616
8,37.20787,34.51941
9,11.58750,19.51564
10,-55.03426,-21.38784
11,-106.30222,38.13334
12,-10.09209,13.41276
13,82.45157,36.04202
14,20.37301,79.92854
15,155.79117,-85.25250
16,59.10340,-79.77289
17,6.18095,-82.04291
18,134.89598,-21.76383
19,-46.75889,-5.28615
20,94.83666,-73.98266
21,-69.62248,-4.01032
22,-66.99015,-67.56197
23,-110.66834,63.83031
24,50.68210,-75.42124
25,-67.34120,-25.83962
26,129.32717,42.08326
27,-4.80265,18.18325
28,-109.26287,28.94469
29,-66.26050,77.04775
30,-115.19175,-75.89378
31,113.81751,54.80816
32,53.51283,-86.29805
33,-39.94960,-13.19820
34,-87.46277,14.00479
35,104.17687,15.89702
36,94.39076,-86.44895
37,54.43660,-76.35266
38,160.27131,-81.10487
39,107.56153,-79.11332
40,99.90797,53.58721
41,154.70232,64.04097
42,-93.25641,57.75150
43,98.03603,69.84990
44,47.37649,26.35409
45,-70.72968,-27.94088
46,-126.90200,52.51138
47,-14.47182,16.26094
48,-148.68893,-84.19941
49,37.83307,68.56615
50,-23.84254,75.68963
51,89.44080,74.82052
52,26.14837,-83.80226
53,153.88191,-86.09268
54,7.90075,-85.99910
55,114.42415,-7.94586
56,-84.63758,13.25379
57,106.15642,-2.55904
58,-42.65634,63.12876
59,-123.71990,52.17757
60,-34.39744,66.93286
61,-15.00966,-77.49186
62,28.47829,15.94044
63,101.69055,42.37264
64,-99.62229,78.14582
65,15.23538,51.23550
66,3.21946,13.58355
67,7.05131,9.25402
68,26.81520,-14.48969
69,114.36875,-73.16136
70,101.12458,-76.86475
71,114.87736,0.16056
72,168.08968,-88.67662
73,22.51069,-82.14397
74,133.47707,-69.21259
75,-65.38061,-10.77022
76,99.11575,24.79545
77,134.72190,48.25047
78,44.94935,-73.10879
79,24.78969,-76.30464
80,48.68598,-82.17893
81,104.50169,70.63041
82,23.26729,-21.88020
83,86.46381,70.97294
84,24.59166,49.80310
85,85.32119,34.51470
86,-123.70168,47.27758
87,46.33261,51.12521
88,-0.30940,27.69577
89,29.54159,-80.60662
90,-94.21014,-77.42777
91,17.43664,-86.10471
92,137.45650,58.12270
93,50.21663,40.93431
94,-105.07712,68.12729
95,29.99449,-14.23743
96,-1.00447,30.92906
97,92.94084,38.89514
98,9.13218,19.01643
99,17.25923,11.89171
100,-84.69325,-79.63855
101,-130.00182,-79.61064
102,16.76227,-9.97044
103,-149.74860,64.23379
104,103.75303,34.76965
105,66.01942,31.92298
106,155.79250,-74.38670
107,141.94368,-37.67204
108,39.32463,45.46474
109,-51.94800,74.91335
110,-114.11171,56.28702
111,-9.85553,29.18275
112,21.30823,-32.36499
113,78.94008,23.25461
114,-61.34021,53.78685
115,46.23527,51.50426
116,114.99479,50.10798
117,151.03999,61.67068
118,-69.83452,-27.09809
119,-61.15678,-27.36114
120,-14.97475,66.18235
121,150.87476,61.71271
122,-90.60885,80.54201
123,-9.22169,-88.02830
124,41.69478,-75.43041
125,-131.09422,-83.59191
126,-120.27753,40.03486
127,-95.53459,34.86481
128,-50.61068,82.22539
129,-98.18250,63.63132
130,142.32989,-77.09691
131,62.18791,56.87743
132,-40.41351,75.08283
133,-12.59164,81.52622
134,-75.81482,70.63065
135,158.01377,-86.62637
136,49.36730,16.38693
137,173.38890,62.04856
138,32.80495,59.12871
139,-70.80140,80.70370
140,72.78851,62.61019
141,-11.26845,-71.80573
142,-111.11463,28.18343
143,92.90858,68.22499
144,103.99210,50.23508
145,33.59087,-68.85068
146,-67.66994,-21.95731
147,11.46458,29.91670
148,-114.75119,45.58527
149,156.44174,50.81386
150,-114.47838,47.80871
151,-82.22649,33.52090
152,27.98268,-12.47612
153,19.44369,22.78834
154,132.59020,-25.37789
155,-40.07380,77.25396
156,166.59097,-82.82174
157,43.50772,58.72758
158,31.72944,-5.86773
159,62.55840,-71.21979
160,-53.43237,-23.93135
161,102.05917,-74.36794
162,-67.45257,78.14944
163,56.44788,61.77878
164,-142.28966,-82.32194
165,104.88016,72.72270
166,78.81304,68.03884
167,-18.86016,-87.54715
168,54.82199,37.93579
169,-83.44690,50.90459
170,-155.87464,-87.42977
171,-44.43413,-7.46735
172,-110.78192,44.88549
173,-5.12965,32.81611
174,148.59833,-79.48663
175,118.94518,-84.41372
176,104.74763,76.01071
177,-22.22511,80.40005
178,75.68893,66.49862
179,132.24533,-22.49600
180,94.67234,59.51249
181,140.40701,-74.36402
182,52.25818,-67.45775
183,109.88530,48.72899
184,-101.87874,-88.35129
185,11.89058,52.75098
186,15.21394,58.59936
187,32.88456,-7.74702
188,54.97329,48.45903
189,24.65742,3.43216
190,131.65293,56.73744
191,7.47698,-71.73055
192,47.38729,55.81441
193,-112.27362,66.63623
194,-131.12348,64.53083
195,25.91240,17.23921
196,44.40472,45.60646
197,53.42693,51.01110
198,36.65298,13.54031
199,-73.14480,7.65298
200,49.68920,24.49088
201,-3.60107,-78.89431
202,126.91464,37.33612
203,-105.80642,-88.77630
204,108.38495,-80.26447
205,43.96572,-86.97500
206,-132.72799,64.16923
207,111.80107,43.17896
208,55.72704,70.82955
209,-120.44759,49.45505
210,15.08677,64.16519
211,-59.70945,-87.84710
212,-42.96762,-6.58397
213,11.76924,-15.88364
214,104.19497,1.73848
215,119.14374,66.40295
216,-119.79275,47.93929
217,62.25179,42.38687
218,53.14135,-70.25039
219,-96.13528,49.50131
220,-10.62108,-73.50652
221,-104.67240,48.25062
222,2.40886,9.00772
223,73.53308,43.14673
224,93.12998,53.96868
225,76.17966,-82.84006
226,101.43032,41.52838
227,60.63738,-85.70216
228,46.22218,-19.66644
229,145.22181,67.82916
230,83.71668,-72.14357
231,-29.78956,81.36888
232,-73.39081,-38.74813
233,18.02478,25.33562
234,121.51110,-82.27403
235,156.59281,-74.06290
236,-4.58482,31.82024
237,1.10843,7.29620
238,-14.69243,23.52356
239,55.15702,36.17981
240,-88.97846,32.40595
241,-146.95855,62.92999
242,35.82834,-12.34835
243,114.76290,-70.57802
244,14.02462,-71.73959
245,-110.72896,57.97571
246,-48.01894,-89.34836
247,-35.76769,76.52927
248,-84.85773,46.73932
249,55.74469,49.11473
250,138.12397,-23.41786
251,95.89115,-86.69711
252,-98.20789,52.99846
253,-143.63333,67.35627
254,134.15047,-26.08140
255,-58.12175,79.63902
256,-174.58085,64.70767
257,-137.33837,62.47976
258,-134.68776,-75.35456
259,-62.78865,-1.90527
260,21.54540,-1.87012
261,96.95795,42.34618
262,97.18841,25.81855
263,40.32035,38.91168
264,27.73661,-18.44896
265,-11.30896,-77.17770
266,86.00757,44.42209
267,3.79054,11.70047
268,-65.62716,8.50992
269,-116.71090,36.20707
270,18.77044,-29.78639
271,-8.90009,23.63998
272,131.81601,45.46026
273,-5.88671,13.38055
274,-20.44406,-82.06402
275,126.67933,57.06686
276,93.53343,-69.73600
277,-106.21675,69.31174
278,-9.11622,-87.89578
279,69.16493,58.27039
280,-47.95896,80.24605
281,126.40848,-75.46279
282,-30.59029,-84.17404
283,-53.24252,75.47848
284,170.97733,-89.73062
285,134.71021,-30.46222
286,-120.58241,-88.25658
287,-96.07634,37.47365
288,128.44612,63.42938
289,-113.59011,-78.32108
290,-64.19723,-42.77745
291,-112.15730,-80.53009
292,22.30057,13.83680
293,-83.40701,-85.22465
294,126.58866,-89.81658
295,28.38121,-21.32226
296,-47.14414,78.10172
297,-40.80413,65.59025
298,40.99372,57.88859
299,129.33631,50.28647
300,114.14649,43.36542
301,-86.81379,-79.79584
302,65.13183,38.81888
303,61.23410,59.48075
304,145.20521,65.75263
305,3.59714,44.22326
306,77.30336,26.51675
307,-105.86770,-87.65539
308,98.08291,45.79212
309,-69.29218,77.20837
310,19.90487,-13.18467
311,-68.04454,-30.94040
312,-64.05914,8.96409
313,117.88083,-30.64415
314,52.79695,22.09911
315,131.26022,57.75239
316,116.74884,1.33434
317,105.90665,-69.86615
318,133.75252,-17.90169
319,19.59414,20.83246
320,64.83324,59.52270
321,50.31033,18.73445
322,82.88950,17.71840
323,19.80028,17.50615
324,-146.13524,-86.45936
325,-72.46913,44.73212
326,122.39596,-19.84995
327,63.24438,26.04929
328,30.76549,37.47169
329,27.39067,42.89883
330,154.39051,-84.55775
331,73.68167,54.82278
332,-97.58503,26.20331
333,23.71909,-83.08717
334,122.13413,46.66931
335,17.57784,18.66322
336,24.10622,-19.49965
337,125.07701,69.94663
338,142.50702,-15.53842
339,23.32139,-84.26262
340,20.28740,-70.94412
341,-157.60168,59.38450
342,21.87576,-89.56011
343,124.73971,-17.96542
344,94.97527,-76.55320
345,-36.96013,-88.66463
346,67.45369,29.87064
347,96.26320,-71.46684
348,26.85390,-14.95446
349,128.18345,-17.17577
350,-120.33065,73.93285
351,-6.17317,-85.12064
352,-122.68860,66.10844
353,119.32089,33.13082
354,59.19270,40.00546
355,77.31083,50.36654
356,63.81094,75.86136
357,-113.51375,33.79568
358,140.44458,-87.22372
359,141.85378,-31.37885
360,-23.14423,74.39558
361,11.12417,-71.80820
362,105.53558,76.44281
363,106.79905,25.71623
364,83.93934,46.34428
365,40.75336,3.64846
366,95.00247,-82.24226
367,105.97868,73.94141
368,23.75001,9.00932
369,-93.25944,-76.34815
370,-41.86799,-10.41589
371,150.25533,-35.07125
372,-82.58744,66.98270
373,-105.15909,22.01723
374,113.34118,-82.17657
375,144.61764,-79.36139
376,-76.42527,-3.15337
377,146.16412,69.33123
378,-158.21195,70.39406
379,-95.71803,35.14423
380,93.97284,47.00619
381,69.93251,30.85566
382,11.43503,5.40867
383,18.74315,67.99238
384,24.96788,27.09925
385,143.67772,-4.25444
386,5.17052,17.65083
387,-17.25370,-82.15626
388,123.67716,-82.73111
389,-31.50094,-87.80450
390,-99.43792,-88.90382
391,32.26149,-0.24912
392,-55.46558,-24.67936
393,70.10132,-88.30015
394,116.43214,35.00948
395,-106.91610,65.26518
396,-49.81918,67.83915
397,39.35189,-13.82748
398,39.13296,34.14766
399,65.09776,26.75252
400,114.95691,54.47246
401,11.45250,46.11854
402,-90.49634,13.97908
403,138.16022,51.93184
404,101.19096,-70.90139
405,-2.09666,37.96055
406,28.33170,-1.77790
407,17.81469,-29.48492
408,30.62744,-16.34227
409,70.12150,60.70519
410,100.06060,46.52971
411,-46.26233,72.33095
412,41.80466,62.94154
413,-47.80908,-89.79463
414,52.88646,29.14989
415,42.63251,54.42580
416,114.16809,-7.95948
417,-71.82136,-13.10457
418,-38.02796,68.81481
419,18.95412,-13.56301
420,140.38664,-69.75012
421,-40.41339,-4.32853
422,78.36127,33.41353
423,-104.46301,39.56337
424,170.78410,-85.57109
425,-159.45682,64.91060
426,97.23926,-78.35053
427,-111.34132,30.21854
428,-83.84658,10.58139
429,44.98382,5.76448
430,-66.71326,-73.89073
431,24.99079,-84.03503
432,126.88666,55.91804
433,-119.24154,50.76979
434,-106.99737,31.27631
435,-46.76910,70.76697
436,-100.48448,47.21354
437,90.02925,-85.70650
438,43.50962,27.20755
439,-4.33381,50.47069
440,40.47874,57.13284
441,-137.19054,58.82028
442,64.56646,38.55302
443,120.10041,-69.43472
444,111.10508,45.41700
445,-106.37108,65.88724
446,82.46965,-68.73039
447,13.75362,-82.49167
448,-111.86512,57.09197
449,103.06393,22.46885
450,7.99245,-71.69502
451,-90.20267,15.07705
452,38.30840,47.59948
453,118.81001,57.50096
454,19.67777,-74.22704
455,7.37213,-71.08831
456,-23.24318,-81.96641
457,-70.70203,56.16852
458,56.57899,64.43578
459,74.65002,17.66999
460,83.20871,18.15403
461,-90.64239,-82.82366
462,-92.26112,42.25357
463,16.17664,17.87569
464,36.82171,41.27762
465,147.31902,-70.20528
466,-107.39303,47.59740
467,-150.17349,62.28791
468,-84.48364,54.50245
469,-140.26735,-82.27775
470,132.41032,56.18175
471,-75.35122,71.78357
472,-124.90094,63.62515
473,46.21075,-71.90360
474,-166.04646,-88.54690
475,-85.50552,-74.71072
476,-90.28996,-74.81566
477,39.25703,63.04704
478,53.98500,-80.33792
479,136.87611,-28.79002
480,-70.82842,-75.42636
481,-56.94498,-12.29731
482,32.53855,37.07456
483,71.59031,70.30638
484,93.28128,29.39676
485,116.04234,-84.04194
486,131.28723,-25.57886
487,76.04908,22.08071
488,-120.22332,36.87972
489,-103.64293,69.73883
490,-74.88214,-13.69528
491,126.12039,61.71377
492,123.97792,-32.29806
493,36.38331,27.47245
494,-87.05731,42.18682
495,-63.15437,1.97443
496,-81.91815,75.60111
497,-59.97705,78.19616
498,11.88291,9.98788
499,33.54588,-10.53053
500,83.68142,46.69426
501,28.81755,54.74215
502,51.90057,-74.20377
503,40.59574,-86.96289
504,20.61314,30.23763
505,82.69230,37.24793
506,-157.55967,-88.49834
507,147.29463,-82.81289
508,50.11107,-80.86331
509,-4.47961,-79.61567
510,-142.44363,61.61143
511,64.63348,-79.77191
512,-14.77573,-79.34039
513,150.85137,67.92120
514,96.52494,41.20771
515,80.47356,6.31887
516,86.78316,34.22366
517,160.96432,-89.73359
518,16.37155,-6.71871
519,-1.74477,-84.84999
520,-101.37667,-85.27512
521,-102.53601,-89.25713
522,88.27629,74.28260
523,-79.08756,41.62782
524,-120.33166,52.36712
525,-66.70519,-17.44835
526,105.64708,26.48531
527,-74.67313,9.43087
528,-25.84088,-84.40129
529,124.10051,-71.82356
530,112.49379,-86.09379
531,90.89463,69.88137
532,101.04412,14.95729
533,13.13196,38.13623
534,51.34199,42.78301
535,39.00952,53.94526
536,-111.96808,45.38473
537,140.32492,-4.06305
538,-65.99878,-89.94319
539,64.98214,38.68646
540,78.16801,55.27458
541,116.36755,65.33451
542,-25.47636,-78.05705
543,133.64882,-84.22475
544,-74.79137,-7.57069
545,-51.71623,-29.98523
546,91.71547,69.50513
547,-70.03831,-40.84025
548,140.28811,65.97027
549,10.37469,8.46282
550,126.32685,46.86450
551,128.49696,-22.35418
552,34.64532,55.96132
553,-29.42336,-81.59567
554,-15.67636,-80.34692
555,14.57078,48.17062
556,76.77479,41.69021
557,-118.46794,39.04000
558,-130.44829,64.49198
559,31.40225,-71.18071
560,149.04172,-21.54136
561,12.77117,47.99094
562,125.19413,-74.11824
563,-107.44750,30.82246
564,135.51202,65.56589
565,-64.49921,-18.67690
566,8.50120,34.20858
567,130.25126,-30.38479
568,-19.46553,-78.38876
569,119.10750,-25.25169
570,85.29656,-79.44962
571,78.97860,-88.91290
572,58.95182,74.90278
573,82.47377,48.34261
574,155.27834,-76.38744
575,-101.81010,33.33723
576,73.82381,32.57730
577,-10.26108,-74.40386
578,-80.77865,-5.08498
579,19.23694,-20.66115
580,83.52322,20.82746
581,89.37374,30.83904
582,-51.40842,-22.65152
583,84.24901,37.08023
584,57.70667,-70.80097
585,-116.46126,-85.22828
586,-138.48453,65.48538
587,1.07258,45.89086
588,33.31431,66.39858
589,81.86022,52.49387
590,146.21028,-41.32457
591,89.00078,58.22316
592,25.76305,45.71649
593,-66.28037,-70.26632
594,53.07088,37.85413
595,-36.26584,-8.61517
596,-25.17523,70.06247
597,171.20746,65.33397
598,21.52945,-88.10622
599,60.89613,41.84183
600,-55.44401,-16.67463
601,27.91087,53.44892
602,-1.57708,30.99582
603,123.56168,73.36074
604,-143.21186,62.94412
605,-85.57628,51.51395
606,144.02432,-37.00808
607,91.66091,-71.17488
608,-9.07063,-89.65114
609,57.07914,55.17280
610,-124.11800,67.54399
611,-150.78047,62.49322
612,74.73089,46.60370
613,71.96456,-73.98708
614,21.64896,-24.43771
615,-103.72231,42.52727
616,-34.46145,77.78741
617,98.92705,-89.17006
618,-86.98283,-89.60931
619,14.51917,-80.30827
620,28.00160,65.68756
621,86.30744,30.07518
